system:index,BUI,Class,NDBI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,.geo
1_2_1_0,0.2555749,0,0.059132237,0.08433183,0.19512000000000002,0.241265,0.38738625,0.49013999999999996,0.5804225000000001,0.5190287499999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2_0,0.2510647,0,0.06259315,0.075599805,0.16964125000000002,0.20357625000000001,0.29610000000000003,0.37501124999999996,0.43634999999999996,0.42178875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3_0,0.26060978,0,0.08125813,0.073787235,0.14458875,0.17589749999999998,0.25739375000000003,0.32163375,0.37288000000000004,0.38697375000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4_0,0.24128434,0,0.059545234,0.073665395,0.15833875000000003,0.19430875000000003,0.283395,0.35506,0.41153124999999996,0.39841374999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5_0,0.2515,0,0.058275003,0.07878479,0.12447249999999999,0.15301750000000003,0.23663125000000002,0.30065125,0.35207625000000004,0.34228624999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6_0,0.2652223,0,0.077606894,0.07384194,0.1564275,0.18924875000000002,0.2782525,0.35371250000000004,0.41011500000000006,0.41428125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_7_0,0.26163787,0,0.086548336,0.07100381,0.14299374999999998,0.17599375,0.26039125,0.3244525,0.37404875,0.39708000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8_0,0.26501235,0,0.086683325,0.072067566,0.14562000000000003,0.17812499999999998,0.261945,0.32797250000000006,0.37891625,0.40710375000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_9_0,0.26846313,0,0.078838006,0.07969809,0.16034625000000002,0.1931675,0.28642,0.36145374999999996,0.42405750000000003,0.41928625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_10_0,0.22819981,0,0.04274159,0.07720008,0.19377250000000001,0.23162624999999998,0.35603625,0.44557625000000006,0.52012875,0.44142375000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_11_0,0.25318235,0,0.036002196,0.09629957,0.1840925,0.22202875,0.32586875,0.41942375000000004,0.5088125000000001,0.42445625000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_12_0,0.30826512,0,0.09810026,0.09244255,0.145235,0.1772725,0.2622475,0.3384225,0.40736500000000003,0.4381375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_13_0,0.26673067,0,0.07106562,0.08313684,0.17757499999999998,0.20841625000000003,0.30793875,0.39054875000000006,0.46137500000000004,0.45429375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_14_0,0.27934036,0,0.05694809,0.09760867,0.17475625,0.2130225,0.32316000000000006,0.42082625,0.511865,0.44961875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_15_0,0.2905198,0,0.08395932,0.08707441,0.17038375,0.20646375,0.30810374999999995,0.39774000000000004,0.47361250000000005,0.47369500000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
